dough ID, proof 1 temp, proof 1 rel hum, proof 2 temp, proof 2 rel hum, proof 3 temp, proof 3 rel hum, bake temp
DO47,19.899999999999999,61.3,19.899999999999999,62.4,5,<uncontrolled>,210
DO48,20.9,61.9,20.3,64.5,5,<uncontrolled>,210
DO49,21.2,61.6,20.2,55.6,5,<uncontrolled>,210
DO113,4,<uncontrolled>,19.8,51.8,5,<uncontrolled>,205
DO114,5,<uncontrolled>,19.899999999999999,53.5,5,<uncontrolled>,205
DO115,5,<uncontrolled>,19.8,64.3,5,<uncontrolled>,205
DO116,5,<uncontrolled>,20,72.3,5,<uncontrolled>,205
DO117,5,<uncontrolled>,19.8,75.2,5,<uncontrolled>,205
DO118,5,<uncontrolled>,19.899999999999999,77,5,<uncontrolled>,205
DO87,5,0,20,59.9,5,<uncontrolled>,180
DO88,20,57.8,20.8,66.099999999999994,5,<uncontrolled>,180
DO89,19.8,55.9,20,63.8,5,<uncontrolled>,180
DO90,20.2,70.099999999999994,20.5,64.7,5,<uncontrolled>,180
DO91,<logger>,<logger>,<logger>,<logger>,5,<uncontrolled>,180
DO92,20.6,69.099999999999994,20.8,68.8,5,<uncontrolled>,180
DO81,19.8,57.4,20.100000000000001,56.8,20,50,189
DO82,19.899999999999999,59.1,19.5,60.1,5,<uncontrolled>,189
DO83,5,0,19.8,57.96,5,<uncontrolled>,189
DO84,19.600000000000001,57,20.2,56.8,5,<uncontrolled>,189
DO85,5,0,20.7,56.3,35,50,189
DO86,5,0,19.8,52.6,5,<uncontrolled>,189
DO93,5,0,20,68.2,20,92,240
DO94,4,0,20,67,35,50,240
DO95,20.3,67,20,65.7,35,73,240
DO96,20.3,77.599999999999994,20.100000000000001,75.099999999999994,20,50,240
DO97,5,0,20,71.7,20,67,240
DO98,5,0,20,71.3,20,56,240
DO125,<fridge temp>,<uncontrolled>,20.2,59.4,35,92,240
DO126,<fridge temp>,<uncontrolled>,19.899999999999999,58.7,35,50,240
DO127,<fridge temp>,<uncontrolled>,20,29.1,35,58,240
DO128,18.899999999999999,52.6,19.8,57.3,35,60,240
DO129,18.7,53.5,18.899999999999999,54.1,35,54,240
DO130,4,<uncontrolled>,20.8,55.6,35,50,240
DO65,<fridge>,0,20.2,55.9,35,76,183
DO66,20.3,56.8,20.3,56.3,35,58,183
DO67,20.3,56.8,20.3,56.9,35,76,183
DO68,19.5,56.6,20.100000000000001,58.3,35,90,183
DO69,20.2,58.3,20.3,60.2,35,77,183
DO70,20.2,57.2,19.899999999999999,54.7,35,83,183
DO56,5,0,19.7,51.6,35,92,222
DO57,5,0,19.8,52.7,20,91,222
DO58,19.8,51.7,19.8,52.2,20,91,222
DO59,5,0,19.899999999999999,66.3,20,79,222
DO60,19.8,65.599999999999994,20.399999999999999,54,20,92,222
DO61,19.7,64.5,<logger>,<logger>,20,82,222
DO119,5,<uncontrolled>,19.899999999999999,58.2,35,60,237
DO120,19.8,60,20,60.2,35,50,237
DO121,4,<uncontrolled>,50,61,35,63,237
DO122,5,<uncontrolled>,19.8,20.7,35,56,237
DO123,5,<uncontrolled>,19.8,75.599999999999994,35,60,237
DO124,4,<uncontrolled>,20.100000000000001,78.099999999999994,35,60,237
DO107,5,<uncontrolled>,20,69.2,5,<uncontrolled>,213
DO108,5,<uncontrolled>,20,66.5,20,88,213
DO109,5,<uncontrolled>,20,68.8,20,50,213
DO110,5,<uncontrolled>,20,56.1,35,92,213
DO111,4,<uncontrolled>,20.2,57.1,35,88,213
DO112,20,57.2,20.2,54.3,20,92,213
DO71,4,0,19.7,69.3,35,92,231
DO72,20.100000000000001,70.8,20.2,70.2,5,<uncontrolled>,231
DO73,5,0,20,70.599999999999994,20,50,231
DO74,20.6,68.3,20,67.900000000000006,20,92,231
DO75,19.600000000000001,71.2,19.600000000000001,72.400000000000006,20,72,231
DO76,5,0,19,67,5,<uncontrolled>,231
DO99,19.899999999999999,55.8,19.899999999999999,57.4,5,<uncontrolled>,240
DO100,19.899999999999999,55.2,20.2,58.3,20,84,240
DO101,19.899999999999999,57.6,19.899999999999999,57.7,35,92,240
DO104,5,<uncontrolled>,20.2,58.7,20,92,240
DO105,20,57.2,20.100000000000001,60.5,35,92,240
DO106,4,<uncontrolled>,20.2,59.7,35,92,240
DO133,18.8,46.7,18.8,46.8,5,<uncontrolled>,240
DO134,18.899999999999999,47.1,19.7,52.7,5,<uncontrolled>,240
DO135,19.2,47.9,19.8,51.9,5,<uncontrolled>,240
DO137,19.600000000000001,48.9,19.8,48.9,20,90,240
DO138,4,<uncontrolled>,19.7,52.8,5,<uncontrolled>,240
DO139,19.5,57.9,19.899999999999999,57.9,5,<uncontrolled>,240
DO50,5,0,19.899999999999999,51.7,20,92,186
DO51,20,52.6,19.899999999999999,47.5,35,60,186
DO52,5,0,20.100000000000001,49.8,5,<uncontrolled>,186
DO53,19.7,51.5,20.2,50.3,20,88,186
DO54,19.8,50,20.2,50.5,20,77,186
DO55,19.899999999999999,53.8,20.2,55.1,5,<uncontrolled>,186
